locus	compartment
AT1G14550	Cell wall / apoplast
AT1G14560	Mitochondrion
AT1G14570	Nucleus
AT1G14580	Chloroplast
AT1G14600	Nucleus
AT1G14610	Mitochondrion
AT1G14650	Nucleus
AT1G14660	Plasma membrane
AT1G14670	Membrane (unspecified)
AT1G14685	Nucleus
AT1G14686	Membrane (unspecified)
AT1G14687	Nucleus
AT1G14690	Nucleus
AT1G14700	Cell wall / apoplast
AT1G14720	Cell wall / apoplast
AT1G14730	Membrane (unspecified)
AT1G14740	Nucleus
AT1G14755	Cell wall / apoplast
AT1G14760	Cytoplasm
AT1G14830	Cytoplasm
AT1G14840	Cytoplasm
AT1G14850	Nucleus
AT1G14860	Mitochondrion
AT1G14870	Plasma membrane
AT1G14880	Plasma membrane
AT1G14900	Nucleus
AT1G14910	Membrane (unspecified)
AT1G14920	Nucleus
AT1G14970	Membrane (unspecified)
AT1G14980	Mitochondrion
AT1G15000	Cell wall / apoplast
AT1G15020	Cell wall / apoplast
AT1G15050	Nucleus
AT1G15080	Membrane (unspecified)
AT1G15100	Cytoplasm
AT1G15110	Endoplasmic reticulum
AT1G15120	Mitochondrion
AT1G15130	Cytoplasm
AT1G15150	Membrane (unspecified)
AT1G15160	Membrane (unspecified)
AT1G15170	Membrane (unspecified)
AT1G15180	Membrane (unspecified)
AT1G15190	Cell wall / apoplast
AT1G15210	Membrane (unspecified)
AT1G15215	Nucleus
AT1G15220	Mitochondrion
AT1G15290	Nucleus
AT1G15310	Cytoplasm
AT1G15340	Nucleus
AT1G15360	Nucleus
AT1G15380	Plasma membrane
AT1G15390	Chloroplast
AT1G15440	Nucleus
AT1G15460	Membrane (unspecified)
AT1G15480	Mitochondrion
AT1G15500	Chloroplast
AT1G15510	Chloroplast
AT1G15520	Plasma membrane
AT1G15530	Plasma membrane
AT1G15570	Nucleus
AT1G15580	Nucleus
AT1G15660	Other / unknown
AT1G15690	Vacuole
AT1G15700	Chloroplast
AT1G15710	Chloroplast
AT1G15750	Nucleus
AT1G15757	Cell wall / apoplast
AT1G15770	Nucleus
AT1G15780	Nucleus
AT1G15880	Golgi
AT1G15920	Nucleus
AT1G15940	Nucleus
AT1G15960	Membrane (unspecified)
AT1G15980	Chloroplast
AT1G15990	Plasma membrane
AT1G16010	Membrane (unspecified)
AT1G16020	Other / unknown
AT1G16030	Cytoplasm
AT1G16060	Nucleus
AT1G16110	Membrane (unspecified)
AT1G16120	Membrane (unspecified)
AT1G16130	Membrane (unspecified)
AT1G16140	Membrane (unspecified)
AT1G16150	Membrane (unspecified)
AT1G16160	Membrane (unspecified)
AT1G16190	Nucleus
AT1G16240	Golgi
AT1G16260	Membrane (unspecified)
AT1G16300	Chloroplast
AT1G16310	Vacuole
AT1G16340	Cytoplasm
AT1G16350	Cytoplasm
AT1G16360	Membrane (unspecified)
AT1G16370	Vacuole
AT1G16380	Membrane (unspecified)
AT1G16390	Vacuole
AT1G16400	Endoplasmic reticulum
AT1G16410	Endoplasmic reticulum
AT1G16430	Nucleus
AT1G16445	Chloroplast
AT1G16460	Cytoplasm
AT1G16470	Cytoplasm
AT1G16490	Nucleus
AT1G16510	Cytoplasm
AT1G16530	Nucleus
AT1G16570	Endoplasmic reticulum
AT1G16590	Nucleus
AT1G16610	Nucleus
AT1G16640	Nucleus
AT1G16670	Plasma membrane
AT1G16700	Mitochondrion
AT1G16710	Nucleus
AT1G16720	Chloroplast
AT1G16780	Golgi
AT1G16825	Endoplasmic reticulum
AT1G16860	Plasma membrane
AT1G16880	Chloroplast
AT1G16900	Endoplasmic reticulum
AT1G16910	Nucleus
AT1G16920	Plasma membrane
AT1G16950	Cell wall / apoplast
AT1G16970	Nucleus
AT1G17050	Chloroplast
AT1G17060	Membrane (unspecified)
AT1G17070	Nucleus
AT1G17110	Cytoplasm
AT1G17120	Plasma membrane
AT1G17140	Plasma membrane
AT1G17147	Nucleus
AT1G17160	Chloroplast
AT1G17170	Cytoplasm
AT1G17180	Cytoplasm
AT1G17190	Cytoplasm
AT1G17200	Plasma membrane
AT1G17220	Chloroplast
AT1G17230	Plasma membrane
AT1G17235	Plasma membrane
AT1G17240	Plasma membrane
AT1G17250	Plasma membrane
AT1G17260	Membrane (unspecified)
AT1G17270	Membrane (unspecified)
AT1G17280	Membrane (unspecified)
AT1G17290	Mitochondrion
AT1G17340	Vacuole
AT1G17350	Mitochondrion
AT1G17370	Nucleus
AT1G17380	Nucleus
AT1G17420	Chloroplast
AT1G17440	Nucleus
AT1G17455	Nucleus
AT1G17470	Cytoplasm
AT1G17480	Nucleus
AT1G17500	Membrane (unspecified)
AT1G17520	Nucleus
AT1G17530	Mitochondrion
AT1G17560	Mitochondrion
AT1G17580	Cytoplasm
AT1G17590	Nucleus
AT1G17610	Cytoplasm
AT1G17650	Chloroplast
AT1G17690	Nucleus
AT1G17700	Membrane (unspecified)
AT1G17730	Cytoplasm
AT1G17745	Chloroplast
AT1G17750	Plasma membrane
AT1G17760	Nucleus
AT1G17770	Nucleus
AT1G17790	Chloroplast
AT1G17810	Vacuole
AT1G17840	Plasma membrane
AT1G17850	Chloroplast
AT1G17860	Endoplasmic reticulum
AT1G17870	Chloroplast
AT1G17910	Membrane (unspecified)
AT1G17920	Nucleus
AT1G17930	Nucleus
AT1G17950	Nucleus
AT1G17960	Cytoplasm
AT1G17980	Nucleus
AT1G18000	Membrane (unspecified)
AT1G18010	Membrane (unspecified)
AT1G18040	Nucleus
AT1G18080	Cytoplasm
AT1G18100	Cytoplasm
AT1G18120	Cell wall / apoplast
AT1G18140	Cell wall / apoplast
AT1G18170	Chloroplast
AT1G18190	Golgi
AT1G18200	Plasma membrane
AT1G18260	Endoplasmic reticulum
AT1G18265	Membrane (unspecified)
AT1G18280	Plasma membrane
AT1G18320	Mitochondrion
AT1G18330	Nucleus
AT1G18340	Nucleus
AT1G18370	Cytoplasm
AT1G18390	Plasma membrane
AT1G18400	Nucleus
AT1G18420	Membrane (unspecified)
AT1G18440	Chloroplast
AT1G18450	Nucleus
AT1G18480	Cytoplasm
AT1G18490	Nucleus
AT1G18500	Chloroplast
